vehicle,ride,cluster,TSNE_f1,TSNE_f2
Vehicle_1,events_4595074,-1,-53.84027,52.93079
Vehicle_1,events_4596154,-1,-54.2621,55.66294
Vehicle_1,events_4613800,-1,-55.154686,52.897274
Vehicle_1,events_4615977,-1,-63.528473,66.94855
Vehicle_1,events_4617067,-1,-40.43051,73.62399
Vehicle_1,events_4635057,-1,-23.362854,81.398766
Vehicle_1,events_4635736,-1,-56.707607,46.95341
Vehicle_1,events_4636811,-1,-42.31014,72.954605
Vehicle_1,events_4637203,-1,-63.988434,59.97592
Vehicle_1,events_4637536,-1,-58.14192,46.777576
Vehicle_1,events_4653595,-1,-40.275253,74.5595
Vehicle_1,events_4654690,-1,-71.73044,40.5688
Vehicle_1,events_4656079,-1,-48.274364,68.1395
Vehicle_1,events_4656440,0,-7.4483423,-66.463974
Vehicle_1,events_4673501,-1,-64.54744,61.22436
Vehicle_1,events_4674841,-1,-29.081999,74.55958
Vehicle_1,events_4675138,-1,-52.88697,53.480125
Vehicle_1,events_4695799,-1,-69.16807,44.06935
Vehicle_1,events_4697405,-1,-66.627975,41.432682
Vehicle_1,events_4697940,-1,-35.960144,71.54444
Vehicle_1,events_4698272,-1,-30.193941,76.11992
Vehicle_1,events_4718376,-1,-33.242184,73.314705
Vehicle_1,events_4722712,-1,-60.152847,41.249767
Vehicle_1,events_4744452,-1,-71.1222,40.36697
Vehicle_1,events_4765946,-1,-56.976765,46.342022
Vehicle_1,events_4768346,0,-5.3901815,21.460602
Vehicle_1,events_4769562,-1,-56.299706,47.858936
Vehicle_1,events_4770262,-1,-58.41114,43.03719
Vehicle_1,events_4792086,-1,-69.1702,41.080837
Vehicle_1,events_4793264,-1,-47.4339,69.50679
Vehicle_1,events_4793684,-1,-22.45223,81.62627
Vehicle_1,events_4810071,-1,-58.73457,42.49089
Vehicle_1,events_4811705,-1,-67.95115,41.460415
Vehicle_1,events_4813043,-1,-53.778336,44.679516
Vehicle_1,events_4853176,-1,-23.649775,81.02373
Vehicle_1,events_4856335,-1,17.374228,-23.8265
Vehicle_1,events_4857010,-1,-71.140495,40.2333
Vehicle_1,events_4858154,-1,-41.02113,73.34121
Vehicle_1,events_4858835,-1,-49.935917,69.017136
Vehicle_1,events_4878783,-1,-68.35053,43.212486
Vehicle_1,events_4883779,-1,-64.43872,61.585136
Vehicle_1,events_4885327,-1,-61.825283,3.0108533
Vehicle_1,events_4885992,-1,17.09275,-23.826605
Vehicle_1,events_4886235,-1,-53.87212,44.807007
Vehicle_1,events_4886994,0,29.01252,36.740593
Vehicle_1,events_4913081,-1,-53.759075,53.258904
Vehicle_1,events_4914311,-1,-65.62202,60.47613
Vehicle_1,events_4914734,-1,-66.90629,59.969734
Vehicle_1,events_4915035,-1,-55.73089,0.43079296
Vehicle_1,events_4939965,-1,-69.126366,44.696785
Vehicle_1,events_4941555,-1,-48.561947,68.472824
Vehicle_1,events_4941998,-1,-28.21356,73.913345
Vehicle_1,events_4942202,-1,-34.446156,72.911095
Vehicle_1,events_4942422,-1,-24.169895,84.32544
Vehicle_1,events_4964829,-1,-54.227474,55.513287
Vehicle_1,events_4967282,-1,-81.60575,26.997932
Vehicle_1,events_4967949,-1,-50.99455,20.627201
Vehicle_1,events_4989537,-1,-48.660954,54.57245
Vehicle_1,events_4991921,-1,-67.825325,41.35188
Vehicle_1,events_4993778,0,-45.62742,-2.8957262
Vehicle_1,events_4994793,-1,-68.49251,60.37192
Vehicle_1,events_4994970,-1,-70.29724,43.93793
Vehicle_1,events_5015556,0,0.16922869,-36.684113
Vehicle_1,events_5017311,-1,-55.78016,49.034138
Vehicle_1,events_5018821,-1,-54.881786,45.80223
Vehicle_1,events_5019351,-1,-48.61376,68.29397
Vehicle_1,events_5041577,-1,-58.78336,46.916924
Vehicle_1,events_5042205,-1,-68.94463,46.387703
Vehicle_1,events_5043407,-1,-68.964905,46.17786
Vehicle_1,events_5044355,-1,-64.03933,67.3761
Vehicle_1,events_5044916,-1,-24.174408,83.95046
Vehicle_1,events_5072211,-1,-32.707314,73.57415
Vehicle_1,events_5076879,-1,-31.98052,73.967674
Vehicle_1,events_5078257,-1,-57.187565,46.680737
Vehicle_1,events_5079757,0,22.096405,59.746254
Vehicle_1,events_5105402,-1,-30.405935,76.67979
Vehicle_1,events_5106752,-1,-63.61934,67.036285
Vehicle_1,events_5108720,-1,-36.152653,72.09641
Vehicle_1,events_5110230,-1,-24.9329,83.08646
Vehicle_1,events_5135726,-1,-48.6834,54.569984
Vehicle_1,events_5138203,-1,-40.49213,73.92177
Vehicle_1,events_5139910,-1,-59.91993,41.18746
Vehicle_1,events_5141240,-1,-23.406158,84.480804
Vehicle_1,events_5164475,-1,-29.310461,74.7538
Vehicle_1,events_5166696,-1,-36.21772,72.34535
Vehicle_1,events_5169243,-1,-53.722836,54.393963
Vehicle_1,events_5171329,-1,-33.877113,73.08042
Vehicle_10,events_8377353,0,11.528072,38.585102
Vehicle_10,events_8378448,0,-27.607517,20.796564
Vehicle_10,events_8386689,0,30.246115,-58.49996
Vehicle_10,events_8389637,-1,37.023113,-27.696161
Vehicle_10,events_8392065,0,39.7324,75.54023
Vehicle_10,events_8406702,-1,77.471756,-31.431482
Vehicle_10,events_8407354,0,51.25018,-31.106487
Vehicle_10,events_8408143,0,32.69084,-50.69516
Vehicle_10,events_8411328,-1,-29.784906,45.909824
Vehicle_10,events_8412158,-1,75.23668,-30.445164
Vehicle_10,events_8414312,-1,-46.14648,35.358498
Vehicle_10,events_8421882,-1,28.984074,-17.964626
Vehicle_10,events_8470333,0,45.513,23.135725
Vehicle_10,events_8473066,-1,65.02333,-32.98142
Vehicle_10,events_8504916,0,29.57295,-26.12517
Vehicle_10,events_8506574,-1,-24.557814,59.95585
Vehicle_10,events_8507648,0,39.68904,42.65649
Vehicle_10,events_8509100,0,47.17617,7.715194
Vehicle_10,events_8542291,-1,-31.441795,45.930176
Vehicle_10,events_8565821,0,24.148209,-41.257133
Vehicle_10,events_8568143,0,-2.9716635,39.807304
Vehicle_10,events_8574284,-1,78.71541,-30.50982
Vehicle_10,events_8575945,-1,-42.857357,38.99859
Vehicle_10,events_8580796,0,46.38607,-26.02692
Vehicle_10,events_8582576,-1,41.771336,-69.76013
Vehicle_10,events_8599266,0,59.45062,-39.784508
Vehicle_10,events_8601407,-1,-22.203274,59.325024
Vehicle_10,events_8604714,0,55.75298,27.564766
Vehicle_10,events_8607119,0,60.15733,-10.267947
Vehicle_10,events_8619906,0,61.20954,-38.695606
Vehicle_10,events_8622699,-1,-10.955402,32.57386
Vehicle_10,events_8626488,-1,37.970383,-28.375977
Vehicle_10,events_8636366,-1,-44.390484,-14.702655
Vehicle_10,events_8639783,-1,-16.096964,49.60515
Vehicle_10,events_8640906,-1,-7.527076,39.62575
Vehicle_10,events_8642584,0,9.998859,4.9913974
Vehicle_10,events_8643171,0,28.977818,-10.788706
Vehicle_10,events_8644809,0,42.27662,31.474152
Vehicle_10,events_8646264,-1,-20.290503,53.654526
Vehicle_10,events_8649824,-1,-45.70592,34.488174
Vehicle_10,events_8653521,0,-17.394886,-19.523117
Vehicle_10,events_8689353,0,47.817066,-25.878157
Vehicle_10,events_8704479,0,47.34766,-44.62504
Vehicle_10,events_8723367,0,19.076397,3.7715425
Vehicle_10,events_8724254,0,14.897094,-89.966995
Vehicle_10,events_8725430,-1,82.87785,-33.057377
Vehicle_10,events_8726900,0,28.888697,-39.15272
Vehicle_10,events_8728179,-1,-23.606115,51.856625
Vehicle_10,events_8732297,0,-14.228602,4.7443995
Vehicle_10,events_8733707,0,75.28348,4.861681
Vehicle_10,events_8735292,-1,-45.27305,22.77085
Vehicle_10,events_8808913,0,26.854183,41.555916
Vehicle_10,events_8812383,0,9.863087,37.89929
Vehicle_10,events_8817397,-1,-0.27996802,36.13644
Vehicle_10,events_8819728,-1,19.698606,-44.41873
Vehicle_10,events_8821616,0,30.184647,-30.273813
Vehicle_10,events_8824371,0,26.044071,-16.283806
Vehicle_10,events_8827800,-1,21.152302,-43.567535
Vehicle_10,events_8832581,0,28.438797,-39.040916
Vehicle_10,events_8834178,-1,-21.927835,53.065266
Vehicle_10,events_8855354,-1,-24.803743,59.73604
Vehicle_10,events_8864048,-1,29.867235,6.292909
Vehicle_10,events_8865338,0,31.603436,-57.9376
Vehicle_10,events_8867002,0,38.170135,10.845365
Vehicle_10,events_8869572,0,22.018175,-8.313382
Vehicle_10,events_8871498,0,12.859672,40.054203
Vehicle_10,events_8873015,0,72.49017,32.98942
Vehicle_10,events_8900471,0,1.5487468,43.464382
Vehicle_10,events_8912219,0,17.665476,49.920383
Vehicle_10,events_8919203,-1,-80.20097,3.5978663
Vehicle_10,events_8919796,-1,-37.649906,-38.843285
Vehicle_10,events_8920338,-1,-78.567116,2.5523748
Vehicle_10,events_8921020,-1,-58.44067,-18.723785
Vehicle_10,events_8921343,0,-29.073137,24.48531
Vehicle_10,events_8923271,-1,72.17549,-56.046444
Vehicle_10,events_8942861,-1,75.46947,-30.39953
Vehicle_10,events_8949106,-1,69.57765,-39.342007
Vehicle_10,events_8954411,-1,-34.97079,35.31365
Vehicle_10,events_8961104,-1,-28.96793,46.592087
Vehicle_10,events_8965943,0,-37.678127,-6.7765803
Vehicle_10,events_8966337,-1,-66.92118,-22.040558
Vehicle_10,events_8966845,0,25.234806,32.69588
Vehicle_10,events_8969870,0,-2.628108,-17.154268
Vehicle_10,events_8971982,-1,73.18454,-55.771893
Vehicle_10,events_8984186,-1,63.388046,-32.637554
Vehicle_10,events_8994547,-1,-3.5916846,76.48095
Vehicle_10,events_8994677,-1,88.32602,-15.608566
Vehicle_10,events_9003428,0,75.35384,5.152189
Vehicle_10,events_9005558,0,31.085653,-38.941372
Vehicle_10,events_9013120,-1,-12.089966,30.548107
Vehicle_10,events_9014243,0,42.018017,-19.910652
Vehicle_10,events_9030110,0,30.716097,-30.603075
Vehicle_10,events_9034984,0,49.864006,-18.381094
Vehicle_10,events_9039658,0,28.747004,-38.374035
Vehicle_10,events_9042637,0,26.765707,-29.040197
Vehicle_10,events_9044177,0,22.41431,40.040855
Vehicle_10,events_9047543,0,37.350555,-29.093489
Vehicle_10,events_9049777,-1,88.93457,-15.605166
Vehicle_10,events_9054579,-1,19.667562,-44.8538
Vehicle_10,events_9056877,0,46.12425,4.8500915
Vehicle_10,events_9058240,0,26.484856,-28.362455
Vehicle_10,events_9060267,-1,26.1947,-15.274937
Vehicle_10,events_9061862,-1,-45.33599,34.36583
Vehicle_10,events_9084377,-1,70.52145,-40.631023
Vehicle_10,events_9086330,-1,-17.643215,48.528774
Vehicle_10,events_9091876,0,31.707455,44.340126
Vehicle_10,events_9094458,0,-45.242218,-48.759277
Vehicle_10,events_9095953,0,27.121532,26.591532
Vehicle_10,events_9098044,-1,61.594757,-51.6935
Vehicle_10,events_9125820,0,70.569916,-60.170723
Vehicle_10,events_9132011,-1,67.65749,-53.062553
Vehicle_10,events_9135217,-1,-10.318972,64.82208
Vehicle_10,events_9139493,0,3.6936216,57.34268
Vehicle_10,events_9165893,0,46.501244,-56.49457
Vehicle_10,events_9167300,0,-0.20222501,36.065544
