vehicle,ride,cluster,TSNE_f1,TSNE_f2
Vehicle_1,events_4595074,59,-3.922143,-87.93578
Vehicle_1,events_4596154,69,-5.446407,-90.2674
Vehicle_1,events_4613800,69,-4.783254,-87.05171
Vehicle_1,events_4615977,69,-8.512703,-93.76217
Vehicle_1,events_4617067,70,8.77628,-95.43092
Vehicle_1,events_4635057,67,25.61385,-97.41981
Vehicle_1,events_4635736,44,-5.628227,-81.57175
Vehicle_1,events_4636811,70,9.479467,-93.532845
Vehicle_1,events_4637203,59,12.524762,-77.60236
Vehicle_1,events_4637536,44,-6.427918,-80.32988
Vehicle_1,events_4653595,3,7.9951673,-95.91376
Vehicle_1,events_4654690,8,2.0849023,-68.29288
Vehicle_1,events_4656079,88,1.9092373,-95.69413
Vehicle_1,events_4656440,40,-23.051792,56.752804
Vehicle_1,events_4673501,69,13.732617,-78.37783
Vehicle_1,events_4674841,43,19.253668,-91.31631
Vehicle_1,events_4675138,69,-3.3574092,-88.83043
Vehicle_1,events_4695799,59,6.549044,-69.72137
Vehicle_1,events_4697405,14,2.6016352,-72.51339
Vehicle_1,events_4697940,70,13.605926,-97.56666
Vehicle_1,events_4698272,29,19.579744,-93.32762
Vehicle_1,events_4718376,70,15.456167,-94.3564
Vehicle_1,events_4722712,14,-1.6611947,-77.00681
Vehicle_1,events_4744452,14,2.015384,-68.92535
Vehicle_1,events_4765946,44,-5.4821286,-81.05543
Vehicle_1,events_4768346,35,28.060608,-9.474842
Vehicle_1,events_4769562,59,-4.803021,-82.35393
Vehicle_1,events_4770262,44,-2.9788425,-79.06436
Vehicle_1,events_4792086,59,3.0695233,-70.54961
Vehicle_1,events_4793264,108,3.5204167,-96.05152
Vehicle_1,events_4793684,67,26.225718,-98.14553
Vehicle_1,events_4810071,44,-2.4903266,-78.69978
Vehicle_1,events_4811705,59,3.5658925,-71.55003
Vehicle_1,events_4813043,44,-9.384342,-82.647064
Vehicle_1,events_4853176,30,25.157091,-97.33743
Vehicle_1,events_4856335,89,-59.780857,-30.628212
Vehicle_1,events_4857010,14,1.8648987,-68.93593
Vehicle_1,events_4858154,70,8.945266,-94.8857
Vehicle_1,events_4858835,88,2.8980796,-94.073586
Vehicle_1,events_4878783,59,5.4939313,-70.64839
Vehicle_1,events_4883779,69,13.678939,-78.69328
Vehicle_1,events_4885327,6,28.528229,57.493515
Vehicle_1,events_4885992,62,-59.885582,-30.764706
Vehicle_1,events_4886235,44,-9.240554,-82.62227
Vehicle_1,events_4886994,12,-25.959661,-59.40221
Vehicle_1,events_4913081,59,-3.9657557,-88.22152
Vehicle_1,events_4914311,69,14.249956,-77.27466
Vehicle_1,events_4914734,69,15.358287,-76.40625
Vehicle_1,events_4915035,83,32.116486,60.089092
Vehicle_1,events_4939965,59,7.095002,-69.94494
Vehicle_1,events_4941555,69,2.1873875,-95.3194
Vehicle_1,events_4941998,96,19.316772,-89.99283
Vehicle_1,events_4942202,70,14.575302,-95.466866
Vehicle_1,events_4942422,98,27.945065,-95.90873
Vehicle_1,events_4964829,69,-5.3524284,-90.147964
Vehicle_1,events_4967282,16,40.771427,41.721066
Vehicle_1,events_4967949,56,4.100072,25.44839
Vehicle_1,events_4989537,16,-0.10793619,-89.72197
Vehicle_1,events_4991921,59,3.7054873,-71.754234
Vehicle_1,events_4993778,83,16.929365,32.660248
Vehicle_1,events_4994793,3,15.623546,-74.901596
Vehicle_1,events_4994970,8,6.2324185,-68.83558
Vehicle_1,events_5015556,57,-4.7818494,39.37184
Vehicle_1,events_5017311,59,-4.3360786,-83.44705
Vehicle_1,events_5018821,44,-7.8602986,-82.37264
Vehicle_1,events_5019351,69,1.9347576,-95.24566
Vehicle_1,events_5041577,44,-6.78254,-79.78029
Vehicle_1,events_5042205,59,8.611759,-70.73771
Vehicle_1,events_5043407,59,8.424233,-70.63147
Vehicle_1,events_5044355,69,-9.00239,-94.21957
Vehicle_1,events_5044916,98,27.559704,-95.53015
Vehicle_1,events_5072211,70,15.996529,-94.11284
Vehicle_1,events_5076879,70,16.780209,-93.8126
Vehicle_1,events_5078257,44,-5.885043,-81.0964
Vehicle_1,events_5079757,75,6.954258,-32.10509
Vehicle_1,events_5105402,29,19.857244,-93.78124
Vehicle_1,events_5106752,69,-8.600337,-93.84271
Vehicle_1,events_5108720,70,13.265054,-97.08404
